Contiguous U.S., Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191706,66.97,-1.52
191707,74.61,1.00
191708,71.02,-1.08
191709,64.09,-0.77
191710,50.41,-3.70
191711,43.54,1.85
191712,29.64,-3.04
191801,23.86,-6.26
191802,33.82,0.00
191803,45.75,4.25
191804,49.03,-2.02
191805,60.80,0.60
191806,71.15,2.66
191807,72.45,-1.16
191808,72.50,0.40
191809,61.92,-2.94
191810,56.17,2.06
191811,40.51,-1.18
191812,34.45,1.77
191901,31.82,1.70
191902,32.25,-1.57
191903,40.89,-0.61
191904,51.35,0.30
191905,60.03,-0.17
191906,69.30,0.81
191907,74.35,0.74
191908,72.27,0.17
191909,65.64,0.78
191910,52.59,-1.52
191911,39.31,-2.38
191912,28.78,-3.90
192001,29.23,-0.89
192002,33.69,-0.13
192003,40.28,-1.22
192004,46.78,-4.27
192005,59.31,-0.89
192006,67.37,-1.12
192007,72.70,-0.91
192008,70.63,-1.47
192009,65.44,0.58
192010,54.63,0.52
192011,39.70,-1.99
192012,33.13,0.45
192101,34.36,4.24
192102,36.90,3.08
192103,46.63,5.13
192104,51.01,-0.04
192105,60.10,-0.10
192106,70.36,1.87
192107,74.66,1.05
192108,72.03,-0.07
192109,66.54,1.68
192110,55.35,1.24
192111,42.58,0.89
192112,35.08,2.40
192201,26.80,-3.32
192202,31.95,-1.87
192203,40.42,-1.08
192204,50.31,-0.74
192205,61.18,0.98
192206,70.14,1.65
192207,73.00,-0.61
192208,72.81,0.71
192209,67.28,2.42
192210,55.02,0.91
192211,41.86,0.17
192212,33.55,0.87
192301,34.59,4.47
192302,29.57,-4.25
192303,38.30,-3.20
192304,49.91,-1.14
192305,59.52,-0.68
192306,68.04,-0.45
192307,73.76,0.15
192308,71.11,-0.99
192309,65.07,0.21
192310,51.24,-2.87
192311,42.58,0.89
192312,35.98,3.30
192401,26.26,-3.86
192402,35.19,1.37
192403,37.18,-4.32
192404,50.27,-0.78
192405,57.90,-2.30
192406,68.59,0.10
192407,71.89,-1.72
192408,72.07,-0.03
192409,62.74,-2.12
192410,54.97,0.86
192411,42.40,0.71
192412,27.59,-5.09
192501,29.08,-1.04
192502,38.30,4.48
192503,44.24,2.74
192504,54.72,3.67
192505,60.01,-0.19
192506,69.84,1.35
192507,74.14,0.53
192508,71.40,-0.70
192509,66.67,1.81
192510,48.92,-5.19
192511,40.41,-1.28
192512,32.50,-0.18
192601,30.31,0.19
192602,37.67,3.85
192603,39.65,-1.85
192604,50.04,-1.01
192605,61.02,0.82
192606,68.20,-0.29
192607,73.36,-0.25
192608,72.34,0.24
192609,64.11,-0.75
192610,54.95,0.84
192611,40.46,-1.23
192612,31.33,-1.35
192701,31.55,1.43
192702,37.90,4.08
192703,42.26,0.76
192704,51.58,0.53
192705,59.76,-0.44
192706,67.21,-1.28
192707,72.68,-0.93
192708,69.37,-2.73
192709,64.98,0.12
192710,55.90,1.79
192711,44.35,2.66
192712,28.22,-4.46
192801,31.98,1.86
192802,34.34,0.52
192803,43.12,1.62
192804,48.06,-2.99
192805,61.52,1.32
192806,65.91,-2.58
192807,73.40,-0.21
192808,71.82,-0.28
192809,63.27,-1.59
192810,55.08,0.97
192811,41.58,-0.11
192812,32.94,0.26
192901,26.31,-3.81
192902,26.92,-6.90
192903,43.56,2.06
192904,51.17,0.12
192905,58.86,-1.34
192906,67.50,-0.99
192907,73.60,-0.01
192908,72.63,0.53
192909,63.41,-1.45
192910,53.92,-0.19
192911,38.41,-3.28
192912,33.96,1.28
193001,23.54,-6.58
193002,40.10,6.28
193003,40.41,-1.09
193004,54.41,3.36
193005,59.23,-0.97
193006,68.41,-0.08
193007,75.04,1.43
193008,72.90,0.80
193009,65.75,0.89
193010,51.69,-2.42
193011,41.09,-0.60
193012,31.17,-1.51
193101,32.99,2.87
193102,37.94,4.12
193103,39.42,-2.08
193104,51.06,0.01
193105,59.43,-0.77
